TEMPLATE,PPT_TAG
1,2
1,5
2,11
2,4
3,1
3,12
4,2
4,4
5,12
5,3
5,6
6,2
6,5
7,1
7,5
8,1
8,6
9,12
9,4
10,1
10,5
11,1
11,5
12,2
12,12
13,4
13,5
14,1
14,5
15,5
15,12
16,4
16,5
17,12
17,5
18,9
18,5
19,9
19,5
20,1
20,12
21,6
21,12
22,3
22,5
23,6
23,2
23,4
24,5
24,6
24,9
25,1
25,6
26,1
26,4
27,1
27,9
27,7
27,4
28,11
28,4
29,1
29,5
30,2
30,3
31,7
31,5
32,1
32,9
33,1
33,4
34,12
34,5
35,9
35,4
36,2
36,4
37,6
37,12
37,4
38,1
38,4
39,1
39,6
40,5
40,9
41,7
41,5
42,1
42,5
43,11
43,5
44,5
44,2
45,9
45,3
46,2
46,5
47,7
47,5
48,1
48,5
49,1
49,7
50,9
50,5
51,7
51,2
52,12
52,2
53,1
53,7
53,5
54,1
54,5
55,2
55,5
56,1
56,4
57,11
57,5
58,1
58,8
59,11
59,5
60,2
60,5
61,2
61,4
62,1
62,5
63,12
63,5
63,2
64,12
64,3
65,9
65,4
66,1
66,2
67,7
67,1
67,4
68,6
68,4
69,1
69,5
70,6
70,11
71,7
71,5
72,4
72,12
73,8
73,5
74,12
74,2
75,12
75,5
76,1
76,9
77,11
77,1
78,6
78,12
79,12
79,1
79,9
80,1
81,1
82,7
82,12
83,5
83,11
84,1
,
85,9
85,4
86,2
86,5
87,2
87,5
88,6
88,12
89,1
90,1
90,5
91,5
91,8
92,6
93,1
93,4
94,11
94,5
95,1
95,5
96,5
96,6
97,11
97,8
98,6
98,9
99,12
99,2
100,1
100,6
101,1
101,5
102,6
102,8
103,12
103,11
104,1
104,5
105,1
105,12
106,1
106,5
107,9
107,5
108,6
108,12
108,11
109,1
109,6
110,11
110,8
111,4
111,6
112,4
112,2
113,7
113,12
114,8
114,9
115,4
115,11
116,1
116,2
117,2
117,4
118,2
118,3
118,1
119,1
119,12
120,5
120,12
120,11
121,2
121,4
122,1
122,12
122,5
123,8
123,7
124,1
124,5
125,2
125,5
